customer_id,company_name,contact_name,email,phone,address,city,state,zip,country,segment,credit_limit,payment_terms,account_status,created_date,_ingested_at
CUST-000017,Murphy-Perry,Richard Walter,alyssa42@sloan-raymond.com,001-651-371-2368x5160,4965 Emily Mountains Apt. 985,Lake Bryan,GU,61353,US,RETAIL,5000,NET60,INACTIVE,2023-11-23,2026-04-30T04:36:50.726872
CUST-000018,"Ortiz, Taylor and Shah",Johnathan Davis,paulwatson@horton.com,(717)796-4053x77351,4317 Elizabeth Row,North Kristinbury,DC,74501,US,WHOLESALE,250000,COD,SUSPENDED,2023-01-26,2026-04-30T04:36:50.726872
CUST-000019,Gallegos PLC,Daniel Kane,kim90@garrison-thomas.com,+1-742-210-2053,0268 Julie Mountains,Stricklandhaven,OR,14794,US,RETAIL,50000,COD,SUSPENDED,2025-03-03,2026-04-30T04:36:50.726872
CUST-000020,"Walker, Gilbert and Acosta",Mary Turner,browntimothy@simmons-rodriguez.info,715-892-1249,8961 Melissa Run Apt. 673,Morganmouth,MO,55025,US,GOVERNMENT,100000,NET15,SUSPENDED,2022-02-18,2026-04-30T04:36:50.726872
CUST-000021,Simmons-Ortega,Christian Leblanc,davischristopher@davis-rodgers.com,+1-809-288-5165,451 Eric Orchard Apt. 158,Dannyview,OK,30144,US,RETAIL,250000,NET30,INACTIVE,2024-12-22,2026-04-30T04:36:50.726872
CUST-000022,"Villegas, Cardenas and Austin",Allison Hickman,anthony44@bell-white.com,001-861-920-1836,54599 Nicole Drives Apt. 901,Scottchester,NM,80071,US,ECOMMERCE,25000,NET15,ACTIVE,2025-01-31,2026-04-30T04:36:50.726872
CUST-000023,Nelson-Fischer,Jeffrey Campbell,trose@walker.com,2349324451,26838 Jones Wall Apt. 607,Port Lawrencechester,OK,53509,US,ENTERPRISE,50000,NET60,ACTIVE,2024-11-16,2026-04-30T04:36:50.726872
CUST-000024,Wilson-Smith,Robert Montgomery,christopher13@chapman-warren.biz,453-552-1818x8355,43292 Gregory Trail,Marshallshire,WV,76453,US,RETAIL,250000,NET15,SUSPENDED,2025-02-21,2026-04-30T04:36:50.726872
CUST-000025,"Glass, Cunningham and Reid",Sharon Burton,scottharrison@turner.net,347-870-0541,807 Marc Mountains Apt. 071,Toniland,NY,85190,US,WHOLESALE,100000,NET30,INACTIVE,2022-10-17,2026-04-30T04:36:50.726872
CUST-000026,Wright Group,Kelly Bishop MD,paul59@mccormick.com,751-386-4492,4629 Kyle Lane,Lisahaven,CO,85176,US,ENTERPRISE,250000,PREPAID,SUSPENDED,2024-12-04,2026-04-30T04:36:50.726872
CUST-000027,"Cox, Cox and White",Travis Tucker,zoemoore@richard-garcia.net,001-980-259-2962x2292,3794 Young Garden Suite 735,Murrayport,WI,50553,US,WHOLESALE,10000,NET15,ACTIVE,2025-08-08,2026-04-30T04:36:50.726872
CUST-000028,"Barnes, Martin and Gonzalez",Shelley Williams,jsawyer@dawson.com,812-247-8261x3750,536 Nicholas Burgs Suite 152,North Justin,MP,62426,US,ECOMMERCE,100000,NET30,SUSPENDED,2022-07-04,2026-04-30T04:36:50.726872
CUST-000029,"Harrison, Gilbert and Bullock",Daniel Hernandez,srodriguez@turner.com,(897)211-7980x89324,96218 Jones Pine Apt. 670,Zavalaview,WA,02629,US,ENTERPRISE,50000,NET30,ACTIVE,2024-05-12,2026-04-30T04:36:50.726872
CUST-000030,Cooper Ltd,Ashley Perkins,dennis58@li-thompson.info,001-772-621-7043x030,740 Justin Wall Apt. 541,Samuelfurt,WA,58138,US,ENTERPRISE,25000,NET60,ACTIVE,2024-08-12,2026-04-30T04:36:50.726872
CUST-000031,Beltran-Crawford,Tim Stone PhD,mmiller@gardner.com,754-947-9627,596 Fowler Turnpike,North Emilyfurt,MN,67752,US,WHOLESALE,100000,NET30,ACTIVE,2022-09-08,2026-04-30T04:36:50.726872
CUST-000032,Thomas PLC,Jessica Martinez,kimberlydiaz@herring-johnson.com,+1-375-257-1928x56543,8681 Hampton Squares,Lewisport,UT,64883,US,GOVERNMENT,5000,PREPAID,ACTIVE,2023-01-10,2026-04-30T04:36:50.726872
CUST-000033,Taylor Inc,Steven Wallace,cochrantammy@contreras-mckinney.net,+1-544-422-5831,0589 Mcdonald Plaza,New Nicole,CA,41040,US,WHOLESALE,250000,COD,SUSPENDED,2024-09-17,2026-04-30T04:36:50.726872
CUST-000034,"Higgins, Fox and Hammond",Angela Compton,coleerin@anderson-calderon.net,+1-792-526-8018x2422,414 Cynthia Plaza Suite 249,New Danielleshire,OR,20711,US,WHOLESALE,25000,PREPAID,SUSPENDED,2022-10-12,2026-04-30T04:36:50.726872
CUST-000035,"Weber, Winters and Morgan",Amanda Shields,williamsdarlene@baker.org,+1-407-984-4736x4710,7359 Larry Stravenue Suite 562,Zacharyville,MD,32186,US,GOVERNMENT,10000,PREPAID,INACTIVE,2025-04-17,2026-04-30T04:36:50.726872
CUST-000036,Adams and Sons,Anthony Dougherty,kwright@peck-griffith.com,001-527-787-7470x16873,47974 Melanie Meadows,West Jessica,WV,53356,US,WHOLESALE,250000,NET15,ACTIVE,2024-06-08,2026-04-30T04:36:50.726872
CUST-000037,Morales PLC,Heidi Roberts,wgordon@ramirez.com,(816)255-8523,25787 Catherine Passage,West Sarah,MD,21800,US,ENTERPRISE,50000,PREPAID,ACTIVE,2024-08-31,2026-04-30T04:36:50.726872
CUST-000038,"Stevenson, Evans and Rogers",Kim Erickson,thomas05@nunez-whitney.org,809-474-9930x9728,91307 Barnes Loop,South Warren,RI,62315,US,RETAIL,10000,NET60,ACTIVE,2021-11-08,2026-04-30T04:36:50.726872
CUST-000039,"Taylor, Clark and Nguyen",Kelly Edwards,stevepatel@gomez.com,+1-773-934-8434x437,441 Huang Locks Suite 240,Stephanieland,MI,58484,US,ENTERPRISE,5000,PREPAID,SUSPENDED,2023-07-04,2026-04-30T04:36:50.726872
CUST-000040,"Mendoza, Harris and Ryan",Melissa Taylor,johnsantiago@perez.com,001-771-620-8267x734,93802 Khan Fall,Port Randyfort,HI,98674,US,WHOLESALE,100000,NET60,ACTIVE,2023-10-15,2026-04-30T04:36:50.726872
CUST-000041,Smith PLC,Tanya Rogers,ihays@snyder.info,531-452-7420x549,8516 Jack Dam Suite 530,Patrickmouth,WV,35496,US,RETAIL,250000,NET30,ACTIVE,2024-02-17,2026-04-30T04:36:50.726872
CUST-000042,Aguilar-Berry,Ian Young,marshallerik@shaw.com,001-714-859-3327x279,339 Alicia Pines Suite 191,Port Amyhaven,ID,75566,US,RETAIL,5000,NET15,ACTIVE,2025-11-21,2026-04-30T04:36:50.726872
CUST-000043,Martin PLC,Michael Love,gdavis@stokes-chavez.net,(279)808-7406x40391,180 Valerie Mountains Apt. 462,Port Darlene,VA,85157,US,ECOMMERCE,10000,NET15,INACTIVE,2024-11-25,2026-04-30T04:36:50.726872
CUST-000044,Haney-Reyes,Susan Bennett,desireebailey@haney.net,(830)504-7868,5243 Antonio Shore,Mendeztown,IA,27512,US,GOVERNMENT,10000,PREPAID,ACTIVE,2021-11-24,2026-04-30T04:36:50.726872
CUST-000045,Wheeler Group,Michele Williams,moralesjimmy@webster.com,643.695.9953x42836,926 Williams Key,Floydmouth,UT,55069,US,ECOMMERCE,100000,COD,ACTIVE,2024-10-18,2026-04-30T04:36:50.726872
CUST-000046,Evans and Sons,Kara Atkinson,meredith27@hart.net,626.834.3517x51830,39837 Molly Isle,Susantown,IL,25407,US,GOVERNMENT,50000,NET60,ACTIVE,2022-04-28,2026-04-30T04:36:50.726872
CUST-000047,"Key, Mendoza and Sanchez",Christine Herman,kimberly67@wong.info,217.653.5560x932,2353 Hudson Gardens Suite 854,Levyfort,NH,22551,US,RETAIL,250000,COD,ACTIVE,2024-04-27,2026-04-30T04:36:50.726872
CUST-000048,Taylor PLC,Thomas Weaver DDS,warrenmary@landry.com,001-906-923-1203x87509,88600 Nichols Heights,New Lisachester,AS,23997,US,GOVERNMENT,50000,COD,INACTIVE,2022-03-27,2026-04-30T04:36:50.726872
CUST-000049,Warren and Sons,Joseph Ochoa,laura15@stevens-sanchez.com,910-816-6687x0021,180 Jason Ways Suite 401,Rachelshire,TN,04813,US,RETAIL,250000,NET30,ACTIVE,2022-11-07,2026-04-30T04:36:50.726872
CUST-000050,Smith-Clark,Robert Nicholson,evansanne@davenport.com,(821)785-0163x1599,477 Michael Lane,Lopezshire,TN,50317,US,GOVERNMENT,250000,NET15,ACTIVE,2022-01-20,2026-04-30T04:36:50.726872
CUST-000051,"Phillips, Wright and Jones",James Bowers,jodistewart@davis.info,(341)221-2678x886,8199 Shields Bridge,Robertland,VA,73840,US,WHOLESALE,10000,NET60,SUSPENDED,2023-05-23,2026-04-30T04:36:50.726872
CUST-000052,"Meyer, Jennings and Jackson",Derrick Thomas,ryanfisher@patton-ward.com,001-879-793-7124x0659,6924 Morrison Square Apt. 752,Novakport,WA,91590,US,GOVERNMENT,10000,COD,ACTIVE,2025-07-02,2026-04-30T04:36:50.726872
CUST-000053,"Casey, Nguyen and Ramirez",Holly Frederick,brittanygardner@saunders.com,341.967.2434x266,688 Stephens Turnpike Suite 891,Port Johnstad,GA,85304,US,ENTERPRISE,50000,NET60,ACTIVE,2021-09-13,2026-04-30T04:36:50.726872
CUST-000054,"Terrell, Byrd and Ross",Tracie Jordan,garciajeffrey@stone.info,(367)398-2507x146,4573 Bailey Court,Bowenmouth,MD,09305,US,GOVERNMENT,100000,NET30,ACTIVE,2023-11-17,2026-04-30T04:36:50.726872
CUST-000055,Patrick Inc,Greg Rodriguez,sarahyang@thompson.info,962.826.6093,33419 Lauren Plain Apt. 553,Wilsonfort,NC,84270,US,ECOMMERCE,5000,NET30,ACTIVE,2023-12-28,2026-04-30T04:36:50.726872
CUST-000056,"Price, Long and Wilson",Jimmy Thompson,samantha91@anderson.com,(428)466-9296x627,2257 Michelle Branch Suite 236,Ortizfort,MT,93580,US,WHOLESALE,50000,COD,ACTIVE,2025-02-05,2026-04-30T04:36:50.726872
CUST-000057,Jackson-Cunningham,Connie Johnson,amandajackson@cunningham-barton.info,+1-281-991-4858,1340 Baker Wall,South Michelleville,WI,31557,US,WHOLESALE,50000,NET30,ACTIVE,2023-02-10,2026-04-30T04:36:50.726872
CUST-000058,"Matthews, Bell and Page",Carol Taylor,lisatrujillo@bell.com,001-444-594-8126x042,536 Thomas Roads,Courtneyfurt,NV,10399,US,GOVERNMENT,5000,COD,ACTIVE,2022-02-12,2026-04-30T04:36:50.726872
CUST-000059,Robertson-Ramirez,Jackie Clements,brandi17@beck.net,(936)737-4545x8929,17012 Bryant Meadow,Lake Regina,FM,85697,US,GOVERNMENT,25000,COD,INACTIVE,2023-11-22,2026-04-30T04:36:50.726872
CUST-000060,Baxter LLC,Isaac Miller,brettgarrett@lyons.com,2372129387,62713 Davis Valley Apt. 155,Derrickberg,SD,89254,US,ECOMMERCE,250000,COD,ACTIVE,2022-07-16,2026-04-30T04:36:50.726872
CUST-000061,Moreno Inc,Carly Bell,courtneyhernandez@jensen-ramos.com,412-519-6565,138 Maxwell Spurs Apt. 438,Lake Peter,SD,07653,US,WHOLESALE,25000,NET60,ACTIVE,2023-05-12,2026-04-30T04:36:50.726872
CUST-000062,Cruz-Allen,Andrea Oneal,hatfieldsarah@hughes.biz,(282)871-0910x430,866 Miller Plain Apt. 414,New Samanthaberg,ND,43328,US,ECOMMERCE,250000,PREPAID,ACTIVE,2024-08-24,2026-04-30T04:36:50.726872
CUST-000063,"Walters, Davenport and Becker",Michael Blair,brianmiller@wilson-salazar.com,721-402-0275x8842,105 Nelson Circles Suite 917,Dixonton,NM,74803,US,ENTERPRISE,5000,NET30,SUSPENDED,2022-09-29,2026-04-30T04:36:50.726872
CUST-000064,Moore-Ayala,Megan Wilson,williamsmichelle@williams.biz,(720)686-3536,518 Harry Unions,South Caseymouth,VI,37503,US,GOVERNMENT,100000,PREPAID,ACTIVE,2023-12-20,2026-04-30T04:36:50.726872
CUST-000065,Miller-Bryant,Eddie Mueller,stevenvargas@cuevas-parsons.net,001-332-506-0385x05064,7024 Bradley Fort,Haynesstad,NH,98529,US,RETAIL,100000,NET30,ACTIVE,2022-01-17,2026-04-30T04:36:50.726872
CUST-000066,"Davis, Anderson and Wilkins",Keith Graham,joelgreen@howe-long.com,774-831-3291x21277,537 Ford Walk,North Ericport,GU,92868,US,RETAIL,100000,NET30,INACTIVE,2021-09-01,2026-04-30T04:36:50.726872
CUST-000067,Huff LLC,Michael Schmitt,rpalmer@green-ewing.com,(478)583-1712x1003,1994 Andrew Circles Apt. 721,Davidmouth,AR,22519,US,WHOLESALE,50000,NET30,SUSPENDED,2026-03-16,2026-04-30T04:36:50.726872
CUST-000068,Underwood-Foster,Michael Thompson,rebekahhill@stephenson-johnson.org,+1-834-576-8701x462,806 Castillo Tunnel,Coopershire,NY,42654,US,WHOLESALE,100000,PREPAID,ACTIVE,2024-08-17,2026-04-30T04:36:50.726872
CUST-000069,White-Flores,Steven Osborne,stokesthomas@wang-key.com,733-448-0396,95590 Meza Port,New Stacy,MP,65018,US,ECOMMERCE,5000,COD,INACTIVE,2025-12-08,2026-04-30T04:36:50.726872
CUST-000070,Thompson-Johnson,Kyle Smith,nsmith@drake.com,700-629-2185x15691,26752 Walker Radial Apt. 644,East Jessica,UT,75583,US,ECOMMERCE,100000,PREPAID,ACTIVE,2024-08-27,2026-04-30T04:36:50.726872
CUST-000071,"Johnson, Guzman and Mccall",Connie Cunningham,vtaylor@young.com,+1-215-870-4331x5410,626 Macias Keys Suite 179,East Shannon,AS,04880,US,ENTERPRISE,10000,NET15,ACTIVE,2023-11-01,2026-04-30T04:36:50.726872
CUST-000072,Flores Inc,Christopher Bennett,paynerachael@morgan.info,001-806-629-6201x533,3106 Hernandez Lake Apt. 614,Gonzaleztown,IL,22892,US,ENTERPRISE,50000,NET60,INACTIVE,2023-10-22,2026-04-30T04:36:50.726872
CUST-000073,Wells Inc,James Burns,christopher86@watson.com,(270)447-7434,58693 Mary Viaduct,Sheppardfort,OK,31387,US,ENTERPRISE,50000,NET15,ACTIVE,2025-05-17,2026-04-30T04:36:50.726872
CUST-000074,Miller-Orr,Kathryn Lester,davidtodd@rush.com,620.761.6329,68685 Stone Well,Port Isabellashire,NC,55498,US,RETAIL,50000,PREPAID,SUSPENDED,2022-04-13,2026-04-30T04:36:50.726872
CUST-000075,Hernandez-Knight,Traci Garcia,hartcraig@dillon-beard.biz,867-299-7024x629,3074 Smith Viaduct Suite 447,Port Jeremyport,WA,58580,US,RETAIL,5000,PREPAID,ACTIVE,2024-01-20,2026-04-30T04:36:50.726872
CUST-000076,Daniel-Jacobs,Jeremy Mcintyre,wfigueroa@camacho.com,548-562-8902,07053 Richardson Mountain,Reidville,TX,04506,US,ECOMMERCE,25000,NET60,ACTIVE,2023-05-20,2026-04-30T04:36:50.726872
CUST-000077,Burns-Griffin,Karen Arnold,frank41@johnson-williams.org,001-233-533-4680x07229,446 York Mount Suite 374,Silvatown,NY,87317,US,RETAIL,10000,NET15,ACTIVE,2024-07-04,2026-04-30T04:36:50.726872
CUST-000078,"Holland, Lynch and Evans",Arthur Mcneil,michelle44@hernandez.com,+1-565-720-7446x660,875 Bruce Ville,West Connor,DC,97614,US,WHOLESALE,50000,PREPAID,INACTIVE,2023-07-11,2026-04-30T04:36:50.726872
CUST-000079,"Stokes, Hines and White",Gabriela Davis,jeffrey46@watson-richards.info,370-899-9173,0223 Ortiz Port Suite 252,South Marvinburgh,MD,83666,US,ENTERPRISE,100000,PREPAID,ACTIVE,2021-10-26,2026-04-30T04:36:50.726872
CUST-000080,Hayes and Sons,Caroline Duran,xglover@anderson.biz,(267)260-0835x0583,54216 Jackson View,West Stacymouth,VA,68696,US,ECOMMERCE,25000,NET30,ACTIVE,2025-10-13,2026-04-30T04:36:50.726872
CUST-000081,Hamilton-Mcdaniel,Zachary Henry,frederickmeadows@smith-walker.com,609.282.1506,100 Robert Light,New Johnnyberg,IL,91621,US,ENTERPRISE,5000,NET30,INACTIVE,2021-05-27,2026-04-30T04:36:50.726872
CUST-000082,Fisher-Garcia,Lisa Haynes,grivas@higgins.com,939.534.8356x4208,3001 Mary Skyway Suite 218,Lake Jenniferview,SD,30799,US,ECOMMERCE,10000,NET15,ACTIVE,2025-03-18,2026-04-30T04:36:50.726872
CUST-000083,Baker-Williams,Shelly Phelps,laurie56@wilson.com,(725)457-9415,6746 Marsh Run,North David,VA,08187,US,ECOMMERCE,10000,NET15,ACTIVE,2022-09-06,2026-04-30T04:36:50.726872
CUST-000084,Perry PLC,Mr. Jeffrey Carr,cheryl27@rodriguez-jenkins.com,345-808-9935,5628 Alexander Estate,Christianburgh,CA,98992,US,ENTERPRISE,100000,COD,ACTIVE,2025-07-04,2026-04-30T04:36:50.726872
CUST-000085,Allen-Cordova,Daniel Schneider,fmontoya@wallace-berry.com,375.617.0166x0880,755 Lisa Vista,Riverafort,VT,86637,US,RETAIL,5000,COD,ACTIVE,2024-05-31,2026-04-30T04:36:50.726872
CUST-000086,"Chavez, Davis and Hopkins",Henry Schultz,amy51@prince.com,001-761-349-3316x373,91779 Tamara Avenue Apt. 869,Glassburgh,UT,76333,US,RETAIL,5000,NET15,ACTIVE,2022-10-20,2026-04-30T04:36:50.726872
CUST-000087,"Ochoa, Garcia and Sandoval",Erica Keith,spetty@hill.com,522.669.8485x833,228 Page Trace Suite 879,Craigside,LA,55864,US,ENTERPRISE,10000,COD,SUSPENDED,2021-06-07,2026-04-30T04:36:50.726872
CUST-000088,"Rodriguez, James and Brown",Derek Floyd,frances20@mueller.com,819.883.8638x406,004 Christine Tunnel Suite 359,Port Jenny,ID,39059,US,GOVERNMENT,100000,NET30,ACTIVE,2025-02-21,2026-04-30T04:36:50.726872
CUST-000089,Lucero Inc,Christopher Palmer,rwilliams@baker.com,372-702-5909x47985,81826 Davis Forges,Lake Martin,MN,38980,US,RETAIL,250000,NET60,SUSPENDED,2023-03-08,2026-04-30T04:36:50.726872
CUST-000090,"Moreno, Barajas and Colon",Mrs. Maureen Griffin,susanfleming@james-hogan.com,(548)740-8588x7704,28801 Ellen Trail,Port Gina,MP,14122,US,RETAIL,25000,PREPAID,SUSPENDED,2023-01-27,2026-04-30T04:36:50.726872
CUST-000091,"Poole, Johns and Figueroa",Robert Jones,andrewlove@miller.com,281-893-4667x665,091 Jaclyn Cliffs,Sarahville,LA,90400,US,WHOLESALE,50000,NET60,ACTIVE,2023-11-21,2026-04-30T04:36:50.726872
CUST-000092,"Miller, Hubbard and Kim",Matthew Wells,derekmyers@phillips.com,8883210099,53682 Jack Ridges Suite 312,Port Karenside,NH,84999,US,ENTERPRISE,25000,NET30,ACTIVE,2025-12-31,2026-04-30T04:36:50.726872
CUST-000093,Roberts Inc,Craig Carpenter,michael31@harvey-mccullough.com,275.794.9299x5562,64525 Ford Knolls,Tonyville,HI,85114,US,WHOLESALE,250000,NET60,INACTIVE,2022-01-08,2026-04-30T04:36:50.726872
CUST-000094,Trevino-Taylor,Deborah Mercado,lunapatricia@welch.org,808.548.8725,78816 Shaw Shore Apt. 928,South Erik,OK,74663,US,RETAIL,25000,PREPAID,ACTIVE,2022-07-27,2026-04-30T04:36:50.726872
CUST-000095,"Dennis, Crosby and Williams",Crystal Baker,bradclark@hughes-hardin.com,4518844989,9184 Kaufman Fork Suite 557,Eatontown,NY,18715,US,ECOMMERCE,250000,NET60,ACTIVE,2025-01-24,2026-04-30T04:36:50.726872
CUST-000096,Hall PLC,Christine Lopez,carolyn13@shepherd-cortez.info,+1-477-239-2603x02992,24286 Natalie Stream,Staceyborough,NV,79999,US,WHOLESALE,10000,COD,ACTIVE,2025-05-02,2026-04-30T04:36:50.726872
CUST-000097,Jackson-Greer,Rebecca Hoover,cindydixon@ramsey.info,+1-891-436-6210x388,79908 Christopher Shoals,New Amber,AL,89441,US,WHOLESALE,250000,NET15,ACTIVE,2024-12-29,2026-04-30T04:36:50.726872
CUST-000098,"Fisher, Golden and Wolfe",Todd Olson,zbell@velez.biz,(647)531-4986,098 April Lane,Lake Linda,MT,47984,US,WHOLESALE,25000,NET60,INACTIVE,2022-03-26,2026-04-30T04:36:50.726872
CUST-000099,Simmons PLC,Scott Henderson,cheryl63@arnold-grant.com,(988)474-4956x213,86589 Eugene Roads,Port Christopherberg,NJ,79176,US,RETAIL,50000,NET30,ACTIVE,2025-01-10,2026-04-30T04:36:50.726872
CUST-000100,Brown and Sons,Lee Ramsey,hmendez@dawson-harper.com,+1-477-203-8430x9883,02146 Caldwell Lodge Apt. 801,New Justinside,PW,76907,US,WHOLESALE,10000,COD,ACTIVE,2024-04-14,2026-04-30T04:36:50.726872
CUST-000101,Richmond-Hill,Cheyenne Spears,greenrichard@hansen.com,918-248-9476x97357,41633 Gutierrez Knoll Apt. 434,South Emilymouth,CA,73187,US,ENTERPRISE,10000,NET60,ACTIVE,2022-11-04,2026-04-30T04:36:50.726872
CUST-000102,Edwards-Robinson,Catherine Reese,victorgonzalez@allen.com,+1-752-711-1790x807,472 Sanders Terrace Apt. 086,Ayerston,NY,46020,US,WHOLESALE,50000,NET15,ACTIVE,2024-09-03,2026-04-30T04:36:50.726872
CUST-000103,"Parsons, Bryant and Martinez",Emily Smith,nicolasgarcia@salazar-green.net,734-779-5527x636,7292 Lisa Stravenue Suite 386,Gonzalezberg,NJ,01777,US,RETAIL,25000,NET15,INACTIVE,2022-10-29,2026-04-30T04:36:50.726872
CUST-000104,Porter-Cowan,Kelly Le,jevans@williams.com,271-875-4558x845,9399 Tiffany Haven,Markhaven,NM,97038,US,ECOMMERCE,50000,PREPAID,ACTIVE,2025-02-15,2026-04-30T04:36:50.726872
CUST-000105,James LLC,Tyler Oneill,robert99@sweeney-jones.com,835-454-4964x75987,23413 Randy Court,South Amytown,WI,52538,US,RETAIL,5000,NET15,ACTIVE,2025-10-12,2026-04-30T04:36:50.726872
CUST-000106,Garcia PLC,Matthew Mcclure,jerome47@martinez.com,+1-955-877-8487x28299,7831 Parker Loop Suite 240,New Lisaberg,MI,38087,US,ECOMMERCE,25000,NET30,ACTIVE,2025-04-25,2026-04-30T04:36:50.726872
CUST-000107,"Smith, Weeks and Arroyo",Adam Jordan,carla08@lopez-khan.biz,(632)666-3416x3894,12241 Williamson Groves Suite 350,North Tara,AK,24872,US,ECOMMERCE,50000,NET15,INACTIVE,2022-03-12,2026-04-30T04:36:50.726872
CUST-000108,Adams-Espinoza,Crystal Hernandez,arobinson@floyd-jimenez.com,505.612.0461x872,13673 James Street Apt. 837,Maldonadoport,MD,21290,US,ENTERPRISE,50000,PREPAID,SUSPENDED,2021-09-07,2026-04-30T04:36:50.726872
CUST-000109,"Pineda, Meyer and King",Christina Clay,teresayoung@nguyen-jackson.com,001-416-730-0979,27195 Brian Rue,Lake Amanda,CT,16993,US,RETAIL,50000,PREPAID,ACTIVE,2025-06-22,2026-04-30T04:36:50.726872
CUST-000110,Stewart PLC,Nicole Trujillo,bquinn@gray.com,678.448.7392x8557,274 Weaver Motorway,Port Danafurt,VA,24819,US,ENTERPRISE,5000,COD,ACTIVE,2021-06-26,2026-04-30T04:36:50.726872
CUST-000111,"Vincent, Parsons and Allen",Mary Ryan,rlee@cannon-moore.com,565-311-8102x20317,678 Williams Forges,North Sarahborough,SD,64910,US,ECOMMERCE,100000,NET60,ACTIVE,2022-01-02,2026-04-30T04:36:50.726872
CUST-000112,Owen-Brown,Teresa Perry,laura09@rice-navarro.com,538-511-3863,861 Craig Squares,Andradeburgh,WY,24145,US,GOVERNMENT,5000,NET15,SUSPENDED,2026-01-01,2026-04-30T04:36:50.726872
