order_id,customer_id,warehouse_id,order_date,required_date,status,priority,ship_to_address,ship_to_city,ship_to_state,ship_to_zip,notes,total_lines,order_value,created_by,_ingested_at
ORD-00000016,CUST-000465,WH-NOR-04,2025-06-08,2025-06-30,DELIVERED,EXPEDITED,0745 Moore Island Suite 703,South Cory,ND,84238,,1,2673.44,EMP-00153,2026-04-30T04:36:50.726872
ORD-00000017,CUST-000004,WH-NOR-05,2025-05-28,2025-06-15,PICKING,STANDARD,8750 Elizabeth Bypass Suite 520,Richardshire,PW,06660,Wonder decade again human employee mouth lose.,3,68838.65,EMP-00190,2026-04-30T04:36:50.726872
ORD-00000018,CUST-000009,WH-EAS-02,2025-05-18,2025-05-27,DELIVERED,EXPEDITED,202 Soto Glens,Alexanderfort,IA,83790,,3,97238.74,EMP-00044,2026-04-30T04:36:50.726872
ORD-00000019,CUST-000146,WH-NOR-04,2024-07-16,2024-08-06,DELIVERED,STANDARD,89011 Brian Flat Suite 729,Lake Ralphview,DC,57328,,2,53257.93,EMP-00078,2026-04-30T04:36:50.726872
ORD-00000020,CUST-000266,WH-SOU-09,2024-07-02,2024-07-23,SHIPPED,EXPEDITED,6471 Tracy Ports Apt. 527,Robertberg,UT,93201,,3,110638.87,EMP-00121,2026-04-30T04:36:50.726872
ORD-00000021,CUST-000183,WH-SOU-09,2024-05-18,2024-05-24,DELIVERED,ECONOMY,30016 Cynthia Pine,East Christopher,GA,75046,,3,9310.14,EMP-00198,2026-04-30T04:36:50.726872
ORD-00000022,CUST-000327,WH-EAS-06,2026-04-25,2026-05-20,DELIVERED,STANDARD,74166 Clark Camp,Johnsonport,FL,73405,,1,2881.21,EMP-00148,2026-04-30T04:36:50.726872
ORD-00000023,CUST-000131,WH-NOR-05,2026-02-23,2026-02-28,DELIVERED,STANDARD,67232 Reyes Streets,Valeriefort,DE,05499,,4,17654.37,EMP-00078,2026-04-30T04:36:50.726872
ORD-00000024,CUST-000227,WH-CEN-08,2025-02-18,2025-03-01,PROCESSING,STANDARD,0673 Velez Pines,North Jonathan,ND,15951,,2,24042.62,EMP-00104,2026-04-30T04:36:50.726872
ORD-00000025,CUST-000164,WH-SOU-09,2024-05-29,2024-06-21,DELIVERED,STANDARD,2908 Ruiz Valleys,Lake Danielville,NH,08490,,2,5707.34,EMP-00072,2026-04-30T04:36:50.726872
ORD-00000026,CUST-000411,WH-WES-07,2025-11-20,2025-12-19,DELIVERED,STANDARD,4765 Gibson Lakes Suite 903,South Courtney,VI,95951,,3,24933.84,EMP-00009,2026-04-30T04:36:50.726872
ORD-00000027,CUST-000259,WH-NOR-04,2025-01-02,2025-01-18,SHIPPED,EXPEDITED,9109 Julia Orchard Suite 865,East Kelli,ND,01085,,1,444.63,EMP-00001,2026-04-30T04:36:50.726872
ORD-00000028,CUST-000301,WH-NOR-05,2024-12-09,2024-12-25,DELIVERED,EXPEDITED,34304 Anthony Mountain Apt. 002,Bentonmouth,MI,44744,,1,73.95,EMP-00169,2026-04-30T04:36:50.726872
ORD-00000029,CUST-000219,WH-EAS-02,2024-11-18,2024-12-15,PROCESSING,STANDARD,3964 Stacy Fords Apt. 511,Nashberg,GU,83686,,1,2406.58,EMP-00175,2026-04-30T04:36:50.726872
ORD-00000030,CUST-000358,WH-WES-07,2024-10-03,2024-10-07,PACKED,EXPEDITED,58217 Tina Fork,Port Anthony,WI,07438,,2,26158.56,EMP-00081,2026-04-30T04:36:50.726872
ORD-00000031,CUST-000309,WH-SOU-09,2025-12-27,2025-12-30,PICKING,STANDARD,088 Gilmore Common Apt. 258,West Kevinbury,AR,52642,,1,44136.75,EMP-00081,2026-04-30T04:36:50.726872
ORD-00000032,CUST-000384,WH-EAS-06,2025-01-01,2025-01-31,CONFIRMED,STANDARD,2112 Rodriguez Lodge Apt. 098,Port Donnamouth,MT,56719,,4,43185.57,EMP-00120,2026-04-30T04:36:50.726872
ORD-00000033,CUST-000494,WH-EAS-02,2024-10-26,2024-11-05,SHIPPED,URGENT,15267 Maria Mission Apt. 107,South Amandahaven,SD,57274,,5,51935.2,EMP-00137,2026-04-30T04:36:50.726872
ORD-00000034,CUST-000042,WH-CEN-08,2024-11-27,2024-11-30,SHIPPED,STANDARD,414 Mercado Keys Suite 689,Jamesmouth,LA,24845,,4,45087.74,EMP-00026,2026-04-30T04:36:50.726872
ORD-00000035,CUST-000217,WH-CEN-10,2025-01-20,2025-02-18,PROCESSING,STANDARD,7768 Love Valleys,Lake Maria,MN,12092,,6,87852.29,EMP-00019,2026-04-30T04:36:50.726872
ORD-00000036,CUST-000254,WH-CEN-08,2025-02-24,2025-03-12,SHIPPED,EXPEDITED,32370 Joseph Stream Apt. 950,Flynnland,MI,84928,,3,62954.34,EMP-00185,2026-04-30T04:36:50.726872
ORD-00000037,CUST-000333,WH-EAS-01,2025-12-16,2025-12-21,PICKING,STANDARD,963 Jeffrey Run,Tonyfort,FL,44644,,1,22414.68,EMP-00024,2026-04-30T04:36:50.726872
ORD-00000038,CUST-000057,WH-EAS-03,2025-11-07,2025-11-14,PROCESSING,URGENT,15953 Linda Parkways Suite 162,South Jacobhaven,CO,42563,,2,31016.6,EMP-00200,2026-04-30T04:36:50.726872
ORD-00000039,CUST-000448,WH-NOR-04,2025-11-08,2025-11-14,DELIVERED,EXPEDITED,0309 Michael Corner Apt. 434,South John,NE,69634,,4,78699.14,EMP-00088,2026-04-30T04:36:50.726872
ORD-00000040,CUST-000221,WH-CEN-10,2024-06-15,2024-07-15,SHIPPED,STANDARD,9347 Kenneth Squares Suite 167,Thomasside,NM,98174,,3,17297.13,EMP-00092,2026-04-30T04:36:50.726872
ORD-00000041,CUST-000177,WH-EAS-01,2024-12-10,2024-12-13,PICKING,STANDARD,96474 Carrie Flats,South Allison,VA,40063,,1,1785.16,EMP-00071,2026-04-30T04:36:50.726872
ORD-00000042,CUST-000483,WH-EAS-02,2025-06-08,2025-06-19,DELIVERED,STANDARD,92951 Powers Points Apt. 845,Aliciaberg,MS,18832,,3,33309.33,EMP-00061,2026-04-30T04:36:50.726872
ORD-00000043,CUST-000218,WH-NOR-05,2025-04-04,2025-04-07,SHIPPED,STANDARD,31258 David Trafficway Suite 663,Adrianville,RI,58477,,1,8720.68,EMP-00190,2026-04-30T04:36:50.726872
ORD-00000044,CUST-000425,WH-EAS-06,2026-03-03,2026-03-23,DELIVERED,STANDARD,7652 Kevin Vista Suite 851,Watkinsland,NJ,49090,,2,24893.61,EMP-00140,2026-04-30T04:36:50.726872
ORD-00000045,CUST-000293,WH-EAS-06,2024-06-24,2024-07-06,DELIVERED,EXPEDITED,35284 Green Motorway Apt. 500,Lindamouth,KS,90016,,2,24731.76,EMP-00167,2026-04-30T04:36:50.726872
ORD-00000046,CUST-000465,WH-CEN-08,2025-01-12,2025-02-03,SHIPPED,STANDARD,6648 Holmes Crescent,New Elizabeth,DE,23936,,2,10067.28,EMP-00089,2026-04-30T04:36:50.726872
ORD-00000047,CUST-000023,WH-NOR-04,2025-04-18,2025-05-16,PROCESSING,ECONOMY,78335 Fernandez Route Apt. 452,Margaretside,ND,16058,,5,67047.78,EMP-00156,2026-04-30T04:36:50.726872
ORD-00000048,CUST-000491,WH-CEN-08,2025-02-23,2025-03-10,SHIPPED,STANDARD,353 Rodriguez Manors,Larryville,AS,34848,,1,7603.0,EMP-00079,2026-04-30T04:36:50.726872
ORD-00000049,CUST-000268,WH-CEN-10,2024-07-14,2024-08-01,PROCESSING,EXPEDITED,910 Kelly Trail,Linshire,SD,87068,,4,63843.79,EMP-00076,2026-04-30T04:36:50.726872
ORD-00000050,CUST-000081,WH-EAS-01,2025-10-09,2025-10-16,PROCESSING,STANDARD,298 Shelia Island,Juantown,TX,13483,,2,17952.92,EMP-00052,2026-04-30T04:36:50.726872
ORD-00000051,CUST-000078,WH-EAS-06,2024-08-11,2024-08-19,PACKED,STANDARD,1277 Robin Lights Suite 390,Lake Shannonview,NM,75201,,3,72072.15,EMP-00015,2026-04-30T04:36:50.726872
ORD-00000052,CUST-000396,WH-EAS-06,2026-04-05,2026-04-08,PICKING,STANDARD,80308 Garrett Roads Apt. 641,Nguyenport,AZ,20758,,3,76251.84,EMP-00160,2026-04-30T04:36:50.726872
ORD-00000053,CUST-000148,WH-NOR-04,2025-10-20,2025-10-23,DELIVERED,EXPEDITED,6452 Bowman Point,Burchhaven,AL,22599,,1,28520.07,EMP-00149,2026-04-30T04:36:50.726872
ORD-00000054,CUST-000470,WH-NOR-05,2024-10-30,2024-11-27,PACKED,STANDARD,6260 Angela Lakes Apt. 188,North Hollytown,AL,44040,,3,9195.87,EMP-00178,2026-04-30T04:36:50.726872
ORD-00000055,CUST-000349,WH-NOR-04,2026-04-19,2026-05-16,DELIVERED,STANDARD,8286 Soto Turnpike,North Rebekah,ID,01822,,2,55732.51,EMP-00110,2026-04-30T04:36:50.726872
ORD-00000056,CUST-000076,WH-SOU-09,2025-04-16,2025-04-21,PICKING,STANDARD,81692 Jamie Station,Grayfurt,GA,15292,,1,1268.73,EMP-00011,2026-04-30T04:36:50.726872
ORD-00000057,CUST-000197,WH-CEN-10,2025-02-07,2025-03-07,PICKING,STANDARD,51980 Smith Tunnel Apt. 729,Port Lori,PA,40904,,2,20191.32,EMP-00130,2026-04-30T04:36:50.726872
ORD-00000058,CUST-000232,WH-CEN-08,2026-02-17,2026-03-01,CANCELLED,EXPEDITED,863 Medina Walk,West Brandy,VT,51677,,4,31520.23,EMP-00083,2026-04-30T04:36:50.726872
ORD-00000059,CUST-000168,WH-NOR-04,2024-10-01,2024-10-20,PROCESSING,ECONOMY,495 Lynch Center Apt. 335,Melindahaven,MI,60209,,5,42206.58,EMP-00068,2026-04-30T04:36:50.726872
ORD-00000060,CUST-000204,WH-CEN-08,2026-02-14,2026-02-27,SHIPPED,EXPEDITED,346 Deborah Via,South Christophertown,MI,42598,,2,53894.7,EMP-00115,2026-04-30T04:36:50.726872
ORD-00000061,CUST-000371,WH-EAS-02,2026-04-06,2026-05-01,DELIVERED,ECONOMY,3029 Miller Stravenue Apt. 941,Mcdonaldmouth,SC,86830,,1,21307.86,EMP-00155,2026-04-30T04:36:50.726872
ORD-00000062,CUST-000053,WH-NOR-04,2024-08-28,2024-09-11,SHIPPED,STANDARD,79891 Murphy Greens,Port Chadville,NJ,82595,,4,58312.96,EMP-00153,2026-04-30T04:36:50.726872
ORD-00000063,CUST-000477,WH-WES-07,2024-09-01,2024-09-11,PACKED,STANDARD,8487 Matthews Canyon Apt. 926,New Rhonda,NC,52645,,3,47546.51,EMP-00071,2026-04-30T04:36:50.726872
ORD-00000064,CUST-000478,WH-CEN-10,2025-01-23,2025-02-04,SHIPPED,STANDARD,2008 Michael Unions,North Ashleyfort,LA,28068,,3,58145.3,EMP-00190,2026-04-30T04:36:50.726872
ORD-00000065,CUST-000359,WH-SOU-09,2025-12-12,2025-12-18,SHIPPED,STANDARD,5292 Cooper Viaduct Suite 680,Rogertown,AL,14124,,3,51828.66,EMP-00128,2026-04-30T04:36:50.726872
ORD-00000066,CUST-000131,WH-CEN-10,2025-01-17,2025-01-26,PICKING,STANDARD,36242 Oliver Springs,Kristenton,AL,18250,,2,6252.85,EMP-00048,2026-04-30T04:36:50.726872
ORD-00000067,CUST-000446,WH-NOR-04,2026-04-06,2026-04-15,DELIVERED,EXPEDITED,90672 Benson Tunnel Suite 095,Norrisburgh,MP,38153,,1,5024.83,EMP-00188,2026-04-30T04:36:50.726872
ORD-00000068,CUST-000112,WH-SOU-09,2025-06-16,2025-07-01,DELIVERED,STANDARD,4763 Sherry Place Apt. 572,New Codyton,AZ,94363,,3,28440.62,EMP-00116,2026-04-30T04:36:50.726872
ORD-00000069,CUST-000493,WH-WES-07,2025-10-17,2025-11-14,DELIVERED,EXPEDITED,47418 Lori Trail Apt. 022,North Leslie,VI,74382,,1,9465.0,EMP-00031,2026-04-30T04:36:50.726872
ORD-00000070,CUST-000425,WH-CEN-10,2025-05-04,2025-06-03,DELIVERED,STANDARD,3368 Sarah Vista Suite 657,Jessicastad,DC,43998,,4,80320.3,EMP-00200,2026-04-30T04:36:50.726872
ORD-00000071,CUST-000330,WH-EAS-06,2025-05-29,2025-06-07,SHIPPED,ECONOMY,568 Johnson Meadow Suite 487,Lake Richard,VI,67367,,4,67226.27,EMP-00187,2026-04-30T04:36:50.726872
ORD-00000072,CUST-000297,WH-NOR-05,2025-05-01,2025-05-27,DELIVERED,STANDARD,00025 Green Row,Matthewbury,IA,37950,,3,21775.95,EMP-00023,2026-04-30T04:36:50.726872
ORD-00000073,CUST-000388,WH-CEN-08,2025-04-09,2025-04-14,DELIVERED,EXPEDITED,94844 Smith Viaduct Apt. 450,Elizabethfurt,IL,26168,,2,13418.48,EMP-00149,2026-04-30T04:36:50.726872
ORD-00000074,CUST-000474,WH-EAS-06,2025-05-08,2025-05-24,SHIPPED,STANDARD,9511 Brittany Rue,East Amandamouth,PR,48207,,6,79731.06,EMP-00094,2026-04-30T04:36:50.726872
ORD-00000075,CUST-000108,WH-CEN-10,2025-09-19,2025-09-22,SHIPPED,ECONOMY,9422 Elizabeth Gateway Apt. 419,Boonemouth,VA,11920,,3,11769.22,EMP-00077,2026-04-30T04:36:50.726872
ORD-00000076,CUST-000222,WH-EAS-03,2024-06-30,2024-07-12,DELIVERED,STANDARD,67743 Williams Greens,Port Brittanymouth,PA,20849,Between election range of even education.,4,37383.84,EMP-00073,2026-04-30T04:36:50.726872
ORD-00000077,CUST-000384,WH-EAS-03,2025-08-11,2025-09-01,PICKING,ECONOMY,476 Jennifer Mall,South Crystalland,UT,69503,,6,115522.88,EMP-00124,2026-04-30T04:36:50.726872
ORD-00000078,CUST-000272,WH-NOR-04,2025-09-27,2025-10-14,DELIVERED,EXPEDITED,6458 Amber Field Apt. 965,Lake Carlos,UT,59093,,1,30500.8,EMP-00047,2026-04-30T04:36:50.726872
ORD-00000079,CUST-000300,WH-EAS-01,2026-02-08,2026-02-16,DELIVERED,STANDARD,053 Dennis Manor,West Lucasfort,ME,08642,,1,6006.36,EMP-00045,2026-04-30T04:36:50.726872
ORD-00000080,CUST-000187,WH-EAS-01,2024-08-15,2024-08-21,SHIPPED,EXPEDITED,9587 Berry Landing Apt. 268,East Austinhaven,IA,59617,,2,26152.36,EMP-00094,2026-04-30T04:36:50.726872
ORD-00000081,CUST-000469,WH-EAS-06,2026-03-03,2026-03-27,DELIVERED,STANDARD,83594 George Freeway,Markburgh,ID,23627,,3,82339.68,EMP-00047,2026-04-30T04:36:50.726872
ORD-00000082,CUST-000003,WH-WES-07,2026-01-18,2026-01-31,DELIVERED,EXPEDITED,802 Bailey Villages Suite 116,Port Holly,KY,27719,,3,65394.82,EMP-00089,2026-04-30T04:36:50.726872
ORD-00000083,CUST-000194,WH-SOU-09,2025-01-12,2025-01-23,CANCELLED,STANDARD,9286 Dennis Squares,East Jamiemouth,KS,83593,,2,35946.79,EMP-00044,2026-04-30T04:36:50.726872
ORD-00000084,CUST-000103,WH-WES-07,2026-03-31,2026-04-26,PICKING,STANDARD,81060 Hughes Village,Joshuaborough,KY,89593,,2,82958.72,EMP-00190,2026-04-30T04:36:50.726872
ORD-00000085,CUST-000198,WH-WES-07,2025-03-17,2025-03-28,DELIVERED,STANDARD,63356 Jones Lodge,New Linda,TN,65423,,4,48611.78,EMP-00114,2026-04-30T04:36:50.726872
ORD-00000086,CUST-000087,WH-CEN-08,2024-05-28,2024-06-19,DELIVERED,STANDARD,2151 Gregory Stream,West Melissa,CT,62740,,1,741.6,EMP-00165,2026-04-30T04:36:50.726872
ORD-00000087,CUST-000133,WH-CEN-10,2024-08-08,2024-09-04,PACKED,ECONOMY,685 Jose Summit,Amandaburgh,MS,07223,,1,1713.27,EMP-00096,2026-04-30T04:36:50.726872
ORD-00000088,CUST-000273,WH-NOR-04,2025-09-03,2025-09-07,PICKING,EXPEDITED,354 Hernandez Extension,Austinmouth,VA,47712,,3,30876.88,EMP-00200,2026-04-30T04:36:50.726872
ORD-00000089,CUST-000244,WH-EAS-01,2026-01-12,2026-02-07,PICKING,URGENT,61139 Adam Lakes,South Michael,SC,22144,,1,16004.88,EMP-00181,2026-04-30T04:36:50.726872
ORD-00000090,CUST-000430,WH-NOR-05,2024-09-28,2024-10-14,CONFIRMED,STANDARD,87056 Jeffery Lakes Suite 638,Brittanyland,NC,20665,,1,2162.88,EMP-00137,2026-04-30T04:36:50.726872
ORD-00000091,CUST-000324,WH-CEN-08,2025-07-05,2025-07-16,SHIPPED,EXPEDITED,99748 Riley Canyon Apt. 557,Port Michelle,ID,69264,,1,17614.14,EMP-00101,2026-04-30T04:36:50.726872
ORD-00000092,CUST-000382,WH-WES-07,2024-05-01,2024-05-10,CONFIRMED,URGENT,266 Becky Heights Apt. 447,Anthonymouth,AS,41740,,1,7004.34,EMP-00122,2026-04-30T04:36:50.726872
ORD-00000093,CUST-000058,WH-NOR-05,2024-05-11,2024-05-23,PACKED,URGENT,6558 Debbie Islands Suite 972,East Gary,HI,06023,Drive article dream ask bit.,1,62444.54,EMP-00023,2026-04-30T04:36:50.726872
ORD-00000094,CUST-000092,WH-EAS-01,2024-05-27,2024-06-07,DELIVERED,STANDARD,713 Blake Junctions Apt. 142,Port Ericfurt,CT,18009,,2,26472.09,EMP-00145,2026-04-30T04:36:50.726872
ORD-00000095,CUST-000104,WH-CEN-08,2026-01-22,2026-01-25,SHIPPED,EXPEDITED,28614 Jennifer Curve,Sarahport,DC,19590,,6,65585.96,EMP-00121,2026-04-30T04:36:50.726872
ORD-00000096,CUST-000222,WH-EAS-06,2024-11-17,2024-12-11,DELIVERED,ECONOMY,43023 Kim Centers,North Colinberg,NV,69500,,1,26902.56,EMP-00154,2026-04-30T04:36:50.726872
ORD-00000097,CUST-000123,WH-EAS-03,2026-04-27,2026-05-19,DELIVERED,EXPEDITED,243 Brown Radial,Bradleybury,MA,30680,,2,12999.9,EMP-00077,2026-04-30T04:36:50.726872
ORD-00000098,CUST-000359,WH-EAS-02,2025-12-09,2025-12-26,DELIVERED,STANDARD,561 Bright Ferry,Patriciahaven,KY,53965,,1,15136.48,EMP-00130,2026-04-30T04:36:50.726872
ORD-00000099,CUST-000251,WH-EAS-01,2025-11-21,2025-12-08,SHIPPED,STANDARD,4089 Ellis Lake Apt. 614,New Jaimemouth,AZ,78805,,4,52800.6,EMP-00051,2026-04-30T04:36:50.726872
ORD-00000100,CUST-000117,WH-EAS-01,2024-06-09,2024-07-01,PACKED,STANDARD,36027 Renee Stravenue Suite 672,Jonesborough,NE,25013,,4,34664.4,EMP-00116,2026-04-30T04:36:50.726872
ORD-00000101,CUST-000445,WH-SOU-09,2025-07-29,2025-08-08,DELIVERED,EXPEDITED,5989 Zimmerman Way,Gonzalezburgh,UT,39917,Watch choose evidence coach civil.,1,5618.0,EMP-00127,2026-04-30T04:36:50.726872
ORD-00000102,CUST-000167,WH-SOU-09,2024-09-20,2024-10-16,DELIVERED,STANDARD,338 James Islands,Lake Frank,MA,79326,His magazine agree.,2,11095.56,EMP-00048,2026-04-30T04:36:50.726872
ORD-00000103,CUST-000237,WH-EAS-01,2025-07-24,2025-07-30,DELIVERED,EXPEDITED,14412 Morgan Estates Apt. 924,Paultown,NC,87708,,2,56940.52,EMP-00167,2026-04-30T04:36:50.726872
ORD-00000104,CUST-000461,WH-EAS-01,2026-01-29,2026-02-01,PROCESSING,STANDARD,350 Perry Estate,East Dawn,NH,36982,,5,51739.28,EMP-00031,2026-04-30T04:36:50.726872
ORD-00000105,CUST-000141,WH-EAS-06,2024-07-25,2024-07-28,DELIVERED,STANDARD,58338 Romero Prairie Suite 919,West Johnton,OR,84257,,4,58078.82,EMP-00021,2026-04-30T04:36:50.726872
ORD-00000106,CUST-000072,WH-SOU-09,2025-11-28,2025-12-10,DELIVERED,STANDARD,8759 Brown Squares Apt. 572,East Joyce,TX,25547,,4,56407.73,EMP-00056,2026-04-30T04:36:50.726872
ORD-00000107,CUST-000184,WH-SOU-09,2024-05-09,2024-06-08,SHIPPED,STANDARD,0861 Morrison Hollow,Phillipmouth,LA,61630,,4,107205.63,EMP-00038,2026-04-30T04:36:50.726872
ORD-00000108,CUST-000392,WH-NOR-04,2025-11-08,2025-11-22,SHIPPED,URGENT,91483 Finley Light Suite 086,Lake Mary,NH,87085,Second four candidate.,1,14156.46,EMP-00088,2026-04-30T04:36:50.726872
ORD-00000109,CUST-000446,WH-EAS-03,2025-10-11,2025-10-17,SHIPPED,STANDARD,411 Patricia Well Suite 562,Tiffanyberg,NE,86970,,3,34118.94,EMP-00159,2026-04-30T04:36:50.726872
ORD-00000110,CUST-000433,WH-EAS-06,2025-03-12,2025-04-06,PACKED,URGENT,8094 Joanne Port Suite 470,East Roger,KY,22852,,3,47454.9,EMP-00131,2026-04-30T04:36:50.726872
ORD-00000111,CUST-000070,WH-CEN-10,2026-02-11,2026-02-14,DELIVERED,STANDARD,3206 Nelson Stream Apt. 261,Vanessaport,VI,08189,,1,5990.89,EMP-00153,2026-04-30T04:36:50.726872
ORD-00000112,CUST-000178,WH-EAS-06,2025-10-21,2025-11-14,DELIVERED,STANDARD,1524 Laura Cape,West Emmachester,ND,32935,,3,8081.0,EMP-00085,2026-04-30T04:36:50.726872
ORD-00000113,CUST-000229,WH-NOR-05,2025-09-16,2025-09-23,DELIVERED,STANDARD,531 Frank Lakes,Lake Michelle,MO,36629,,2,5877.96,EMP-00074,2026-04-30T04:36:50.726872
ORD-00000114,CUST-000416,WH-CEN-10,2025-07-28,2025-08-11,DELIVERED,STANDARD,7870 Gonzales Road Suite 442,Burtonbury,AZ,61669,,2,65179.38,EMP-00080,2026-04-30T04:36:50.726872
ORD-00000115,CUST-000353,WH-CEN-10,2025-09-22,2025-10-05,DELIVERED,EXPEDITED,8101 Daniel Hill,Alexandratown,MN,51845,,2,31143.45,EMP-00126,2026-04-30T04:36:50.726872
ORD-00000116,CUST-000079,WH-EAS-02,2025-08-12,2025-09-08,PACKED,ECONOMY,11874 Anthony Glens Apt. 007,Lake James,CA,96441,,3,37844.18,EMP-00174,2026-04-30T04:36:50.726872
ORD-00000117,CUST-000204,WH-CEN-08,2026-02-10,2026-03-02,SHIPPED,STANDARD,204 Allen Mall Suite 041,North Brian,AZ,88482,,4,50299.41,EMP-00092,2026-04-30T04:36:50.726872
ORD-00000118,CUST-000494,WH-CEN-10,2026-02-16,2026-02-20,PACKED,STANDARD,310 Wood Branch Apt. 158,Dunnton,MS,54929,,4,90133.26,EMP-00092,2026-04-30T04:36:50.726872
ORD-00000119,CUST-000155,WH-EAS-01,2024-05-10,2024-05-23,CANCELLED,EXPEDITED,5141 Boyd Key Apt. 560,Davidberg,NH,62646,Rate assume sing.,3,47098.02,EMP-00184,2026-04-30T04:36:50.726872
ORD-00000120,CUST-000234,WH-CEN-10,2025-06-22,2025-07-16,SHIPPED,ECONOMY,15111 Thompson Stream Suite 143,Christinaview,DE,05188,,1,10905.25,EMP-00172,2026-04-30T04:36:50.726872
ORD-00000121,CUST-000019,WH-WES-07,2025-02-28,2025-03-25,SHIPPED,STANDARD,650 Mckay Well,Lopezmouth,MI,28740,,6,112724.49,EMP-00061,2026-04-30T04:36:50.726872
ORD-00000122,CUST-000482,WH-NOR-04,2024-08-01,2024-08-25,SHIPPED,EXPEDITED,3712 Adam Drive,Jessicaside,SD,40632,,1,1714.32,EMP-00144,2026-04-30T04:36:50.726872
ORD-00000123,CUST-000266,WH-CEN-08,2025-01-03,2025-01-30,PICKING,STANDARD,0886 Jodi Meadow,West Katie,IN,31275,,3,44220.93,EMP-00192,2026-04-30T04:36:50.726872
ORD-00000124,CUST-000451,WH-NOR-05,2025-03-11,2025-04-05,DELIVERED,STANDARD,09993 Marissa Ramp,Port Janetview,WI,08223,,1,14097.65,EMP-00191,2026-04-30T04:36:50.726872
ORD-00000125,CUST-000223,WH-WES-07,2024-05-18,2024-05-29,PACKED,STANDARD,97192 Zachary Mission,Jessicamouth,VT,77985,,1,22586.85,EMP-00197,2026-04-30T04:36:50.726872
ORD-00000126,CUST-000390,WH-EAS-03,2026-02-28,2026-03-15,SHIPPED,STANDARD,254 Kenneth Isle Apt. 266,Deannafort,IA,70302,,4,52727.25,EMP-00079,2026-04-30T04:36:50.726872
